raw_file,submission_no,condition,run,identifier
G211119_004_Slot2-21_1_3201,2021-223-01,CD19_WT1,lcms1,CD19_WT1_lcms1
G211119_005_Slot2-22_1_3202,2021-223-02,CD19_WT2,lcms1,CD19_WT2_lcms1
G211119_006_Slot2-23_1_3203,2021-223-03,CD19_WT3,lcms1,CD19_WT3_lcms1
G211119_007_Slot2-24_1_3204,2021-223-04,CD19_WT4,lcms1,CD19_WT4_lcms1
G211119_008_Slot2-25_1_3205,2021-223-05,AKT_WT1,lcms1,AKT_WT1_lcms1
G211119_009_Slot2-26_1_3206,2021-223-06,AKT_WT2,lcms1,AKT_WT2_lcms1
G211119_010_Slot2-27_1_3207,2021-223-07,AKT_WT3,lcms1,AKT_WT3_lcms1
G211119_011_Slot2-28_1_3208,2021-223-08,AKT_WT4,lcms1,AKT_WT4_lcms1
G211119_012_Slot2-29_1_3209,2021-223-09,CD19_aIgM1,lcms1,CD19_aIgM1_lcms1
G211119_013_Slot2-30_1_3210,2021-223-10,CD19_aIgM2,lcms1,CD19_aIgM2_lcms1
G211119_014_Slot2-31_1_3211,2021-223-11,CD19_aIgM3,lcms1,CD19_aIgM3_lcms1
G211119_015_Slot2-32_1_3212,2021-223-12,CD19_aIgM4,lcms1,CD19_aIgM4_lcms1
G211119_016_Slot2-33_1_3213,2021-223-13,AKT_aIgM1,lcms1,AKT_aIgM1_lcms1
G211119_017_Slot2-34_1_3214,2021-223-14,AKT_aIgM2,lcms1,AKT_aIgM2_lcms1
G211119_018_Slot2-35_1_3215,2021-223-15,AKT_aIgM3,lcms1,AKT_aIgM3_lcms1
G211119_019_Slot2-36_1_3216,2021-223-16,AKT_aIgM4,lcms1,AKT_aIgM4_lcms1
G211119_021_Slot2-21_1_3218,2021-223-01,CD19_WT1,lcms2,CD19_WT1_lcms2
G211119_022_Slot2-22_1_3219,2021-223-02,CD19_WT2,lcms2,CD19_WT2_lcms2
G211119_023_Slot2-23_1_3220,2021-223-03,CD19_WT3,lcms2,CD19_WT3_lcms2
G211119_024_Slot2-24_1_3221,2021-223-04,CD19_WT4,lcms2,CD19_WT4_lcms2
G211119_025_Slot2-25_1_3222,2021-223-05,AKT_WT1,lcms2,AKT_WT1_lcms2
G211119_026_Slot2-26_1_3223,2021-223-06,AKT_WT2,lcms2,AKT_WT2_lcms2
G211119_027_Slot2-27_1_3224,2021-223-07,AKT_WT3,lcms2,AKT_WT3_lcms2
G211119_028_Slot2-28_1_3225,2021-223-08,AKT_WT4,lcms2,AKT_WT4_lcms2
G211119_029_Slot2-29_1_3226,2021-223-09,CD19_aIgM1,lcms2,CD19_aIgM1_lcms2
G211119_030_Slot2-30_1_3227,2021-223-10,CD19_aIgM2,lcms2,CD19_aIgM2_lcms2
G211119_031_Slot2-31_1_3228,2021-223-11,CD19_aIgM3,lcms2,CD19_aIgM3_lcms2
G211119_032_Slot2-32_1_3229,2021-223-12,CD19_aIgM4,lcms2,CD19_aIgM4_lcms2
G211119_033_Slot2-33_1_3230,2021-223-13,AKT_aIgM1,lcms2,AKT_aIgM1_lcms2
G211119_034_Slot2-34_1_3231,2021-223-14,AKT_aIgM2,lcms2,AKT_aIgM2_lcms2
G211119_035_Slot2-35_1_3232,2021-223-15,AKT_aIgM3,lcms2,AKT_aIgM3_lcms2
G211119_036_Slot2-36_1_3233,2021-223-16,AKT_aIgM4,lcms2,AKT_aIgM4_lcms2
G211119_038_Slot2-21_1_3235,2021-223-01,CD19_WT1,lcms3,CD19_WT1_lcms3
G211119_039_Slot2-22_1_3236,2021-223-02,CD19_WT2,lcms3,CD19_WT2_lcms3
G211119_040_Slot2-23_1_3237,2021-223-03,CD19_WT3,lcms3,CD19_WT3_lcms3
G211119_041_Slot2-24_1_3238,2021-223-04,CD19_WT4,lcms3,CD19_WT4_lcms3
G211119_042_Slot2-25_1_3239,2021-223-05,AKT_WT1,lcms3,AKT_WT1_lcms3
G211119_043_Slot2-26_1_3240,2021-223-06,AKT_WT2,lcms3,AKT_WT2_lcms3
G211119_044_Slot2-27_1_3241,2021-223-07,AKT_WT3,lcms3,AKT_WT3_lcms3
G211119_045_Slot2-28_1_3242,2021-223-08,AKT_WT4,lcms3,AKT_WT4_lcms3
G211119_046_Slot2-29_1_3243,2021-223-09,CD19_aIgM1,lcms3,CD19_aIgM1_lcms3
G211119_047_Slot2-30_1_3244,2021-223-10,CD19_aIgM2,lcms3,CD19_aIgM2_lcms3
G211119_048_Slot2-31_1_3245,2021-223-11,CD19_aIgM3,lcms3,CD19_aIgM3_lcms3
G211119_049_Slot2-32_1_3246,2021-223-12,CD19_aIgM4,lcms3,CD19_aIgM4_lcms3
G211119_050_Slot2-33_1_3247,2021-223-13,AKT_aIgM1,lcms3,AKT_aIgM1_lcms3
G211119_051_Slot2-34_1_3248,2021-223-14,AKT_aIgM2,lcms3,AKT_aIgM2_lcms3
G211119_052_Slot2-35_1_3249,2021-223-15,AKT_aIgM3,lcms3,AKT_aIgM3_lcms3
G211119_053_Slot2-36_1_3250,2021-223-16,AKT_aIgM4,lcms3,AKT_aIgM4_lcms3
